,VARIETY,...1,Nr.,Abbr..x,Exp..x,Maturity,Mother,Father,COUNTRY.x,Year,Source,heat-sensitivity_combi_HI_starch,Identifier,Sample name,Nr,Stärke % verfügbar,Lfd. #,FAU_Nr,Abbr..y,BREEDER/ Origin,REMARK/ GLKS/ LFL,Maturity/ purpose,parent_genotyped
25,ARIZONA,31,13,AZ,Exp_01,6,UK 150-19D22,MASCOTTE,NLD,2009,NA,medium-sensitiv,P1-E02-013-AZ,013-AZ,13,ja,NA,NA,NA,NA,NA,NA,FALSE
26,ARRAN LUXURY,32,107,ALU,Exp_06,5,ARRAN VICTORY,FLOURBALL,GBR,1929,NA,(sensitiv),P2-C02-107-ALU,107-ALU,107,nein,NA,NA,NA,NA,NA,NA,FALSE
27,ASTERIX,33,182,AS,Exp_06,NA,CARDINAL,VE 70-9,NLD,1991,NA,medium-tolerant,P2-H10-182-AS,182-AS,182,nein,NA,NA,NA,NA,NA,NA,FALSE
28,ATLANTIC,34,14,AT,Exp_03,5,WAUSEON,LENAPE,USA,1976,NA,medium-sensitiv,P1-F02-014-AT,014-AT,14,ja,NA,NA,NA,NA,NA,NA,FALSE
29,AURUM,35,15,AU,Exp_01,7,SYLVANA,VOYAGER,NLD,2019,NA,sensitiv,P1-G02-015-AU,015-AU,15,ja,NA,NA,NA,NA,NA,NA,TRUE
30,AXION,36,NA,NA,NA,NA,KA 87-2306,STABILO,NLD,2008,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php?name=AXION,NA,P01-B01-215-AX-2,215-AX-2,NA,NA,GBS2_02,215,AX,Averis,LSV 211 Weih,Stärke,FALSE
31,BAFANA,37,16,BF,Exp_03,5,VICTORIA,FELSINA,NLD,2009,NA,medium,P1-H02-016-BF,016-BF,16,ja,NA,NA,NA,NA,NA,NA,TRUE
32,BARAKA,38,17,BR,Exp_03,6,SVP 50 358,AVENIR,NLD,1971,NA,medium-sensitiv,P1-A03-017-BR,017-BR,17,ja,NA,NA,NA,NA,NA,NA,FALSE
33,BARBARA,39,108,BB,Exp_03,5,MPI 64.956/68,AM 62.740,GER,1982,NA,medium-tolerant,P2-D02-108-BB,108-BB,108,ja,NA,NA,NA,NA,NA,NA,FALSE
34,BARTINA,40,183,BA,Exp_04,NA,SATURNA,ZPC 62-75,NLD,1988,NA,medium,P2-A11-183-BA,183-BA,183,ja,NA,NA,NA,NA,NA,NA,TRUE
35,BAVATOP,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-C01-218-BAV-2,218-BAV-2,NA,NA,GBS2_03,218,BAV,Bavaria Saat,LSV 211 Weih,Stärke,FALSE
36,BELANA,42,18,BL,Exp_03,8,MILVA,E 87/66,GER,NA,NA,medium,P1-B03-018-BL,018-BL,18,ja,NA,NA,NA,NA,NA,NA,FALSE
37,BETTINA,43,NA,NA,NA,NA,FRANZI,795/883,GER,1988,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php?name=BETTINA,NA,P01-B06-344-BET-2,344-BET-2,NA,NA,GBS2_42,344,BET,Bavaria Saat,NA,mittelfrühe Speisesorte,FALSE
